Term,pval,fdr,nes,es,gene
GO_Biological_Process_2023__Regulation Of Biomineral Tissue Development (GO:0070167),0.0,0.696701859007515,-1.1236223227778492,-0.25119750473432106,GAS6;NBR1;TGFB1;HEY1;NOTUM;BMP2K;S1PR1;ROCK1;SOX9;HEY2;AMTN;CYP27B1;ROCK2;ECM1;CEBPB;TXLNG;NOTCH1;NOS3;DDR2;ENPP1;SGMS2;ODAPH;FBXO5;TWIST1;ANKH
GO_Molecular_Function_2023__Receptor Ligand Activity (GO:0048018),0.0,0.6500789778896642,1.4260191737941028,0.689476957298414,WNT1;FGF17;CD70;WNT5B;WNT16;GDNF;PGLYRP1;WNT10B;IFNG;ENDOU;INHBE;CGB2;AMH;EDN3;SEMA3E;CGB1;S100A4;FGF21;FGF18;DKK1;SLURP1;EGF;TNFSF11;FGF10;GDF10;PTHLH;TGFB3;IGF1;WNT2;CER1;TSLP
GO_Biological_Process_2023__Negative Regulation Of Platelet Activation (GO:0010544),0.0,0.47902151093802287,-1.9135271661751334,-0.5125741617102092,C1QTNF1;PDGFA;APOE;CEACAM1;ALOX12
GO_Molecular_Function_2023__Phospholipase Activity (GO:0004620),0.0,0.378302724039169,1.6229756109287676,0.7938597940196853,LIPI;PLA2G1B
GO_Biological_Process_2023__Positive Regulation Of T Cell Cytokine Production (GO:0002726),0.0,0.5636403281913976,-1.3271853512983196,-0.3046372470553861,IL4;MALT1;PRKCZ;TRAF6;IL1R1;IL6
GO_Biological_Process_2023__Phosphatidic Acid Metabolic Process (GO:0046473),0.0,0.3011871687542615,1.802788358308244,0.9041200320020123,LIPI
GO_Biological_Process_2023__Anterograde Trans-Synaptic Signaling (GO:0098916),0.0,0.7075267095845799,1.3820034326283903,0.6668109552104057,GLRA1;CHRNA9;GABRB2;GRIA1;PENK;GRIN2A;HTR5A;CHRNB3;SLC6A2;PLP1;PCDHB14;HTR1A;CACNA1E;SYT1;CACNA1A;HRH2;NPTX2;PCDHB16;GIPC1;HTR4;PCDHB10;PCDHB13;PCDHB11;APBA3;SYN1;PDYN;SLC1A3;GABBR2;GABRR1;CDK5;LRP6;HRH3;PCDHB5;PCDHB6;SYPL1;EXOC4
GO_Molecular_Function_2023__G Protein-Coupled Receptor Binding (GO:0001664),0.0,0.5225703060746191,1.522135277862835,0.7360649709843023,WNT1;OXT;WNT5B;WNT16;WNT10B;PENK;INSL3;GNAO1;GNAT3;GNAI1
GO_Biological_Process_2023__Regulation Of Dendrite Development (GO:0050773),0.0,0.7062218862945235,-1.1405584402243845,-0.21054685322481745,MFSD2A;BMP7;DBN1;NEDD4L;DCC;ALK;COBL;SARM1;KNDC1;KHDC3L;RAB17;CHRNA3;HECW2;CHRNB2;SEZ6;BCL11A;LZTS1;MARK1;PACSIN1;DAB2IP;NEDD4;RAP2A;KIAA0319;HECW1;NSMF;SDC2;CAMSAP2;PTN;LRP8;SEMA4D;GSK3B;ZNF296;TNIK;RTN4IP1;ZDHHC15;VLDLR;BMP5;CDKL5;CAMK1D;MGARP
GO_Biological_Process_2023__Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000649),0.0,0.6147442723704628,-1.3463073624541668,-0.2851392158921415,SCN1B;FXYD5;RANGRF;FGF11;FGF14;FXYD1;NETO1;NEDD4L;FXYD3;FXYD4;UTRN
GO_Biological_Process_2023__Embryonic Axis Specification (GO:0000578),0.0,0.3501725214824103,1.8074862773277336,0.9444046520068458,WNT1
GO_Molecular_Function_2023__Frizzled Binding (GO:0005109),0.0,0.30768621555185743,1.7951531711116626,0.9042484926210117,WNT1;WNT5B;WNT16;WNT10B
GO_Biological_Process_2023__Cell Projection Organization (GO:0030030),0.0,0.4389248442858447,-1.5549201482930164,-0.38572740474808676,PDGFA;NEFH;PACSIN2;NCKAP1;NPHP1;PARVB;GSN;KIF17
GO_Biological_Process_2023__Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0042269),0.0,0.5588584294276935,-1.4640829127563457,-0.3089797710392833,KLRC3;KLRC2;KLRC1;LILRB1;LAMP1;NCR1;KLRD1;RASGRP1;KIR2DL4
GO_Molecular_Function_2023__Ligand-Gated Monoatomic Ion Channel Activity (GO:0015276),0.0,0.3715126751461583,1.8172828454375674,0.9210313043013072,GLRA1;GRIA1
GO_Biological_Process_2023__Phosphatidic Acid Biosynthetic Process (GO:0006654),0.0,0.6848249312093675,1.8195910505496695,0.9148438330392714,LIPI
GO_Biological_Process_2023__Positive Regulation Of Protein Processing (GO:0010954),0.0,0.4546961998357014,-1.64694280308491,-0.43365609537724953,MYH9;ENO1;HPN;NKD2;ANGPTL8;CLEC3B;GSN;PLGRKT;F12
GO_Biological_Process_2023__Negative Regulation Of Peptidase Activity (GO:0010466),0.0,0.36348431946414866,1.63959673522543,0.8057031868096758,SERPINB3;SERPINB4;SPOCK1
GO_Molecular_Function_2023__Lipase Activity (GO:0016298),0.0,0.35713578590840594,1.693556277477083,0.8408640044908178,LIPI
GO_Biological_Process_2023__Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),0.0,0.33465240972695715,1.7794672128448763,0.9271285257121152,WNT1
GO_Biological_Process_2023__Lipid Catabolic Process (GO:0016042),0.0,0.35001085365162427,1.783802098141882,0.9261102475927683,LIPI;PLA2G1B
GO_Biological_Process_2023__Negative Regulation Of Cell-Substrate Adhesion (GO:0010812),0.0,0.41453248491830474,1.7088440003934724,0.8579996687251706,WNT1;SEMA3E;SPOCK1;RASA1;TACSTD2
GO_Molecular_Function_2023__G Protein-Coupled Receptor Activity (GO:0004930),0.0,0.738680648348799,1.3709807779162118,0.6588065118662222,ADGRG7;PROKR2;GPR32;PRLHR;GPR4;GPR19;HCAR2;NPBWR2;LGR5;GPR149;GPR173;NMUR2;ADGRV1;HCAR3;GPR50;MRGPRX3;MC1R;GPR87;HCAR1;GPR37;ADGRG1;RXFP3;TAPT1;GABBR2;ADGRB1;GPR85;GLP2R;GPR141;ADGRE2
GO_Biological_Process_2023__Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903844),0.0,0.2993884443362643,-1.779481832300334,-0.4360169198393129,SMAD4;TRIM33;IL4;SMAD7;SMAD2;ITGA3;SMAD3;PPARG;NREP;TGFB1;FOLR1;DKK3;ENG
GO_Molecular_Function_2023__Endopeptidase Inhibitor Activity (GO:0004866),0.0,0.5311073537491078,1.5131344255053463,0.7346719802529078,SERPINB3;SERPINB4;SLPI;ITIH2;SPOCK1;PCSK1N;SERPINF1;CST3;SPINK2;WFDC12;SPINK9;ZDHHC17;SERPIND1;NRG1
GO_Biological_Process_2023__Negative Regulation Of Cell Differentiation (GO:0045596),0.001,0.6488294006990215,1.425170947763256,0.6915269640383958,WNT1;ACTL6B;WNT10B;IFNG;ESRRB;PKP2;PPP2CA;BRD9;NR1H2;ADGRV1;USH2A;BBS12;GDF10;RANBP3L;PTHLH;BCL7B;SIRT2;PEX2;SMARCA4;EID2B;PTBP1;NELFB;COL5A1
GO_Biological_Process_2023__Canonical Wnt Signaling Pathway (GO:0060070),0.001,0.41564799295072796,1.6730597005231476,0.8222829533370435,WNT1;WNT5B;WNT16;WNT10B
GO_Biological_Process_2023__Negative Regulation Of Cell Adhesion (GO:0007162),0.001,0.438382531655005,1.5777915984374662,0.7778591887555452,WNT1;SPOCK1;PLXNC1;RASA1;MUC1
GO_Molecular_Function_2023__Cytokine Activity (GO:0005125),0.001,0.6031543431250984,1.4766046896605614,0.7198545565535093,WNT1;CD70;WNT5B;WNT16;WNT10B;IFNG;INHBE;AMH;SLURP1;TNFSF11;CCL18;GDF10
GO_Biological_Process_2023__Negative Regulation Of Proteolysis (GO:0045861),0.0010030090270812437,0.39603999461682965,1.708523418433324,0.8510068391093728,SERPINB3;SERPINB4;MAGEA3
GO_Biological_Process_2023__Positive Regulation Of Lamellipodium Organization (GO:1902745),0.001006036217303823,0.38028682923517865,1.7079946119769933,0.8514588534438423,WNT1;AVIL;PIK3R1
"GO_Biological_Process_2023__Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",0.0010080645161290322,0.4506894952735869,1.7608319830009456,0.8818907399522828,GLRA1;GRIN2A;GSK3A
GO_Biological_Process_2023__Positive Regulation Of Lamellipodium Assembly (GO:0010592),0.0010183299389002036,0.32761985908776753,1.7405335157532256,0.8824479948790274,WNT1;AVIL;PIK3R1
GO_Biological_Process_2023__Negative Regulation Of Endopeptidase Activity (GO:0010951),0.002,0.3943725064192943,1.5999347921784628,0.7861006152323251,SERPINB3;SERPINB4;SPOCK1;SERPINF1;CST3;SPINK2
GO_Biological_Process_2023__Wnt Signaling Pathway (GO:0016055),0.002,0.3925975638139284,1.6070407526482553,0.7906697924834113,WNT1;WNT5B;WNT16;WNT10B;CSNK1A1
GO_Biological_Process_2023__Positive Regulation Of Cell Population Proliferation (GO:0008284),0.002,0.8873201880154484,1.263298204143604,0.6072456660326573,WNT1;SERPINB3;ACTL6B;FGF17;GDNF;TMEM119;IFNG;PLA2G1B;AMH;MEGF10;EDN3;CDK4;MST1R;PFDN1;FGF21;FGF18;NACC1;HTR1A;BRD9;EGF;FGF10;AKT2;ZNF304;DNAJA2;PTHLH;MDM2;BCL7B;TGFB3;PRMT1;IGF1;PAX2;WNT2;SMARCA4;GLI1;KMT2D;TSLP;NPM1;CNOT7;LIFR;CGA;TSPAN31;HBEGF;NRG1;GID8;SHC1;KITLG;RPRD1B;NAP1L1;GLP2R;TBRG4;TBX20;DDRGK1;FXN;SRPK2;DOT1L;NDUFS4;DHPS;PTK2;CCND2;SIRPG;CNOT8;TCF7L2
GO_Biological_Process_2023__Negative Regulation Of Cell-Cell Adhesion (GO:0022408),0.002002002002002002,0.3522656944494286,1.7250055506180888,0.8493601333544012,WNT1
