Term,pval,fdr,nes,es,gene
GO_Biological_Process_2023__Regulation Of Myoblast Differentiation (GO:0045661),0.0,1.0,-1.7130163601247075,-0.8028760267870445,ACTL6A;ARID1A;BOC;ARID1B;AKIRIN1;BRD7
GO_Biological_Process_2023__Response To Organonitrogen Compound (GO:0010243),0.0,0.4094013368206917,1.6752715836141316,0.8915193527558727,DERL1
GO_Molecular_Function_2023__Cytokine Receptor Activity (GO:0004896),0.0,0.2906417475370849,1.7127551910954901,0.8902827035883444,CCR8;CCR5;CCR3;CCR2;CCR4;GFRA2;CCR1;ACKR4
GO_Biological_Process_2023__Anterograde Trans-Synaptic Signaling (GO:0098916),0.0012836970474967907,0.5647337716643253,1.6184825867895651,0.7440082531376885,CHRNB3;GABRR3;CHRNA6;CHRNA2
GO_Biological_Process_2023__Exocytosis (GO:0006887),0.0014947683109118087,0.20227439723143345,1.7111436696135973,0.8785248211043238,CADPS;ARFGEF1;COPS5;EXOC2;ANK1;CCR1;EXOC7;EXOC4;EXOC8
GO_Molecular_Function_2023__Channel Activity (GO:0015267),0.0015772870662460567,0.1113530772637689,1.7599391898443595,0.9149342266710859,CHRNB3
GO_Molecular_Function_2023__Chemokine Receptor Activity (GO:0004950),0.0015923566878980893,0.42906690321819213,1.6639897736692573,0.9133498594533359,CCR8;CCR5;CCR3;CCR2;CCR4;CCR1;ACKR4
GO_Biological_Process_2023__Telomere Organization (GO:0032200),0.002583979328165375,0.7007798105582427,-1.6696343120363215,-0.7848945634266035,ACTR8;ACTL6A;ATR;DCLRE1B
GO_Molecular_Function_2023__Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005231),0.00322061191626409,0.3668959845886174,1.6564114773504501,0.8948870531481427,CHRNB3;CHRNA6;CHRNA2
GO_Biological_Process_2023__Regulation Of Translational Initiation (GO:0006446),0.0032258064516129032,1.0,-1.672791793636326,-0.6867340400497942,EIF2B5;EIF1B;EIF4A2;EIF4G1;CSDE1
GO_Molecular_Function_2023__Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315),0.004784688995215311,0.3955247683237541,1.6598131561334375,0.8946277282092314,CHRNB3;CHRNA6;CHRNA2
GO_Molecular_Function_2023__Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity (GO:0022848),0.0048,0.34389201499005695,1.6535000529934802,0.8965060389716335,CHRNB3;CHRNA6;CHRNA2
GO_Biological_Process_2023__Chemical Synaptic Transmission (GO:0007268),0.0048484848484848485,0.9207060631557039,1.5562121142926433,0.6887660917851324,CHRNB3;GABRR3;CHRNA6;CHRNA2
GO_Biological_Process_2023__Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),0.009472259810554804,0.6406141749147807,1.5953793040947888,0.7634332708084717,DECR1;FABP5;CCR2;FABP4;G0S2;EBF2;GNAS;ADIPOR1
GO_Biological_Process_2023__Negative Regulation Of Endothelial Cell Migration (GO:0010596),0.009478672985781991,0.713439816130336,1.5990218958505595,0.8711427036254209,ADGRB1;ADAMTS9;CSNK2B
GO_Biological_Process_2023__Positive Regulation Of Metabolic Process (GO:0009893),0.009497964721845319,0.6479056179718244,1.5898621690652623,0.7603539372892779,DECR1;FABP5;CCR2;FABP4;G0S2;EBF2;GNAS;ADIPOR1
GO_Molecular_Function_2023__ATPase Binding (GO:0051117),0.010558069381598794,0.5804889267348768,1.62252889489063,0.805767977235258,DERL1;ANK1;ATP1B3
GO_Biological_Process_2023__Regulation Of Cold-Induced Thermogenesis (GO:0120161),0.012953367875647668,0.9835670294889903,1.5214706423113729,0.7070938993591853,DECR1;FABP5;CCR2;ACOT13;FABP4;G0S2;EBF2;GNAS;ADIPOR1
GO_Molecular_Function_2023__Calcium-Dependent Phospholipid Binding (GO:0005544),0.014195583596214511,0.6828463553002221,1.5963695518945207,0.8468262256693342,CPNE4;CPNE3;ANXA13;ESYT3;DYSF;CPNE1
GO_Molecular_Function_2023__Ligand-Gated Monoatomic Cation Channel Activity (GO:0099094),0.019169329073482427,0.8314363102361412,1.5683907594695077,0.8290780158493636,CHRNB3;CHRNA6;CHRNA2
"GO_Molecular_Function_2023__Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amides (GO:0016811)",0.019444444444444445,0.9885887445409118,-1.5378638099299695,-0.714661516728537,FHIT;BTD;ACY1;FAAH;ASAH1
GO_Biological_Process_2023__Positive Regulation Of Synaptic Transmission (GO:0050806),0.022156573116691284,0.9498363406536056,1.5492068292567673,0.7892540904838841,CCR2;FLOT1;DTNBP1;ADCY8;ADRA1D;APP
GO_Biological_Process_2023__Non-Canonical Wnt Signaling Pathway (GO:0035567),0.0226628895184136,0.9816000066296329,-1.6196939989370212,-0.7259029071196792,DVL3;CDC42;CELSR3;DVL1;FZD6;CELSR2
GO_Biological_Process_2023__Positive Regulation Of Translation (GO:0045727),0.02280130293159609,0.9532296404932872,-1.5000533043586821,-0.6155672619761577,EIF2B5;FXR1;CNBP;CSDE1;DHX36;EIF4G3
GO_Biological_Process_2023__Inflammatory Response (GO:0006954),0.02334152334152334,0.9250478115811263,1.4383488070902142,0.6420486578869449,CD96;CCR5;CCR3;CCR2;ADCY8;CCR1;CCL18;CCRL2;ANXA1;CCL26;CHI3L1;CD40;CEBPB;ADM;CCL14
GO_Biological_Process_2023__Regulation Of G0 To G1 Transition (GO:0070316),0.023622047244094488,1.0,-1.5610107879276813,-0.7072315934956184,ACTL6A;ARID1A;ARID1B;BRD7
GO_Molecular_Function_2023__Translation Initiation Factor Activity (GO:0003743),0.024922118380062305,1.0,-1.5022705809294599,-0.6092818259246862,EIF2B5;EIF1B;EIF4A2;EIF4G1;EIF4E3;EIF2B3;EIF3I
GO_Biological_Process_2023__Cellular Response To Ionizing Radiation (GO:0071479),0.02849002849002849,0.9457668413390753,-1.5318674849779146,-0.6980166289512492,ATR;CDKN1A;GADD45A;ECT2;EEF1D;BRCA1
GO_Biological_Process_2023__Autophagosome Organization (GO:1905037),0.028795811518324606,1.0,-1.5053854025616307,-0.6920357120934828,ATG7;ATG3;DNAJC16;ATG5;GABARAPL2;ATP13A2
GO_Biological_Process_2023__Regulation Of Ras Protein Signal Transduction (GO:0046578),0.028985507246376812,0.9464585905810022,1.521155427535508,0.7676963603871017,DENND3
GO_Biological_Process_2023__Response To Endoplasmic Reticulum Stress (GO:0034976),0.02912621359223301,1.0,1.4746598557473347,0.7120997514575027,DERL1;ATF6B;FLOT1;BAK1;BAG6
GO_Biological_Process_2023__Lymphocyte Differentiation (GO:0030098),0.029173419773095625,0.9812862235386536,1.533522473052195,0.837531119777579,CHD7
GO_Biological_Process_2023__Ribosome Biogenesis (GO:0042254),0.029787234042553193,0.9374163218014465,1.507869585892233,0.7432640001358657,DCAF13;EXOSC4;BOP1;BYSL;RRP36;RBIS
GO_Biological_Process_2023__Cellular Response To Salt (GO:1902075),0.03076923076923077,0.9588623699061789,1.5161824259393444,0.7323309525738865,DAXX;CPNE4;CPNE3;ADCY8;CPNE1;CYP11B1;GPLD1;ATP2B4;CLU
GO_Biological_Process_2023__Cellular Response To Metal Ion (GO:0071248),0.03116531165311653,1.0,1.4830133906565306,0.6904129836713402,DAXX;CPNE4;CPNE3;ADCY8;CPNE1;CYP11B1;GPLD1;CLU;BMP6
GO_Biological_Process_2023__Vesicle-Mediated Transport (GO:0016192),0.03218645948945616,0.9599520636286378,1.3737516225444877,0.5851510446165642,DENND3;CHMP4C;CADPS;ARFGEF1;ATP6V1H;EXOC2;ANK1;CCR1;EXOC7;CSNK1D;APP;CAV3;CHMP7;EHD1;CPNE1;EXOC4;ARF1;BIN3;CYTH1;AP5S1;CHMP6;COMMD1;EXOC8;CYTH3;ATP9A;AP1S2;EHD3;VPS51;CLEC16A;CCL14;AP5B1;DNAJC5;ARHGAP1;LAMTOR1
GO_Biological_Process_2023__Long-Chain Fatty Acid Metabolic Process (GO:0001676),0.0326530612244898,0.9328722055407156,-1.4277170497169434,-0.530990902771268,ACAA1;ACAD9;ABHD6;CPT2;AIG1;ELOVL1;ADTRP;ABCD3;FAAH
GO_Biological_Process_2023__Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),0.034482758620689655,1.0,1.5227016337725474,0.8202942229825982,ADGRB1;DCXR;CBR1
GO_Molecular_Function_2023__RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),0.034782608695652174,0.9556053074195645,1.3441790786140377,0.5609663500362863,BARX2;E2F5;FOXL2;ATF6B;E2F3;CEBPD;GLI4;EOMES;FOXP4;GBX2;CDC5L;FOXE3;EBF2;FOXQ1;DMRTA2;FOXF2;DLX2;FOXK2;ELK4;DNMT3A;ARNT;DEAF1;EBF4;CEBPB
